QueryID	SubjectID	RawScore	%coverage	PBSscore	BioSample	Title
AF043627.1	ERR4564087	138.25	100.00	100.00	SAMEA7288503	Imidazole propionate is increased in diabetes and associated with dietary patterns and altered microbial ecology
AF043627.1	ERR4616330	138.25	100.00	100.00	SAMEA7332299	TwinUK cohort
AF043627.1	ERR4616331	138.25	100.00	100.00	SAMEA7332299	TwinUK cohort
AF043627.1	ERR525753	138.25	100.00	100.00	SAMEA2579970	Dynamics and Stabilization of the Human Gut Microbiome during the First Year of Life
AF043627.1	SRR7227920	138.25	100.00	100.00	SAMN09272168	Effect of bariatric surgery on the faecal metagenome
AF043627.1	ERR4571217	135.29	97.86	97.86	SAMEA7294535	Genomic insights into adaptations of TMA-utilizing methanogens to diverse habitats including the human gut
AF043627.1	ERR3004221	135.25	97.86	97.83	SAMEA4813778	KOALA cohort metagenome study
AF043627.1	ERR3450712	135.25	97.86	97.83	SAMEA5814004	Whole shotgun metagenomic sequencing for 1,004 individuals belonging to the TwinsUK cohort.  Supporting data for: Visconti et al, Interplay between the human gut microbiome and host metabolism
AF043627.1	SRR11941643	135.25	97.86	97.83	SAMN15156483	Multi-donor FMT to treat adolescents with severe obesity (The Gut Bugs Trial)
AF043627.1	ERR4571477	131.28	95.00	94.96	SAMEA7294535	Genomic insights into adaptations of TMA-utilizing methanogens to diverse habitats including the human gut
AF043627.1	SRR7110579	126.27	91.43	91.34	SAMN08776114	Enriched fungal communities from goat fecal pellet, Isla Vista, California, United States - Alfalfa, Gen10, Rep 1, Penicillin and Streptomycin metagenome
AF043627.1	ERR4571087	117.47	85.00	84.97	SAMEA7294535	Genomic insights into adaptations of TMA-utilizing methanogens to diverse habitats including the human gut
AF043627.1	SRR5866558	112.45	81.43	81.34	SAMN07414360	Whole-Grain rich diet cross-over study
AF043627.1	SRR5866559	111.60	80.71	80.73	SAMN07414361	Whole-Grain rich diet cross-over study
AF043627.1	SRR11830715	110.50	80.00	79.93	SAMN14511597	Metatranscriptome of enriched fungal communities from goat fecal pellet, Isla Vista, California, United States - Bagasse, Gen9, Rep 1, Penicillin and Streptomycin
AF043627.1	ERR4571347	110.47	80.00	79.90	SAMEA7294535	Genomic insights into adaptations of TMA-utilizing methanogens to diverse habitats including the human gut
AF043627.1	ERR3153744	109.36	79.29	79.10	SAMEA5335518	The fecal microbiota has already altered in normoglycemic individuals who go on to have type 2 diabetes
AF043627.1	SRR12875514	104.49	75.71	75.58	SAMN16513441	Gut microbiome is associated with exercise tolerance of resected early-stage lung cancer patients
AF043627.1	SRR13694787	103.57	75.00	74.91	SAMN17884110	Vaginal seeding in babies born by caesarean section (ECOBABe trial) - shotgun metagenomics data
AF043627.1	SRR13694830	103.57	75.00	74.91	SAMN17884072	Vaginal seeding in babies born by caesarean section (ECOBABe trial) - shotgun metagenomics data
AF043627.1	ERR710432	102.49	74.29	74.14	SAMEA3178943	Gut microbiome development along the colorectal adenoma-carcinoma sequence
AF043627.1	SRR7723001	102.49	74.29	74.14	SAMN09863745	Influence of early environmental factors on the establishment and development of gut microbiome composition and function and metabolomics profiles in infants at-risk of celiac disease
AF043627.1	ERR4616332	99.67	72.14	72.09	SAMEA7332299	TwinUK cohort
AF043627.1	ERR912057	99.58	72.14	72.03	SAMEA3449252	Shotgun Metagenomics of 250 Adult Twins Reveals Genetic and Environmental Impacts on the Gut Microbiome
AF043627.1	SRR5273912	99.51	72.14	71.98	SAMN06350202	Mother-infant microbiome vertical transmission
AF043627.1	SRR7030480	98.56	71.43	71.29	SAMN08778355	Goat fecal pellet enrichment culture fungal communities from Isla Vista, California, USA - Alfalfa, Gen0, Rep 3 metagenome
AF043627.1	SRR14346537	95.66	69.29	69.19	SAMN18880775	The role of maternal exposures on commensal microbes
AF043627.1	SRR11830676	93.68	67.86	67.76	SAMN14511341	Metatranscriptome of enriched fungal communities from goat fecal pellet, Isla Vista, California, United States - Bagasse, Gen6, Rep 1, Penicillin and Streptomycin
AF043627.1	ERR3406244	92.80	67.14	67.12	SAMEA5616932	Early_life_microbiota_colonisation
AF043627.1	ERR3451055	92.65	67.14	67.02	SAMEA5814699	Whole shotgun metagenomic sequencing for 1,004 individuals belonging to the TwinsUK cohort.  Supporting data for: Visconti et al, Interplay between the human gut microbiome and host metabolism
AF043627.1	SRR7031287	92.58	67.14	66.97	SAMN08779031	Goat fecal pellet enrichment culture fungal communities from Isla Vista, California, USA - Xylan, Gen0, Rep 1 metagenome
AF043627.1	ERR6170276	91.75	66.43	66.37	SAMEA8945704	VEGA Human Gut Metagenomics
AF043627.1	SRR16681855	90.56	65.71	65.51	SAMN22567060	Metagenomic analysis of gut microbiota of people with depression disorders for determination of the composition of the marker genes.
AF043627.1	SRR13979576	88.92	64.29	64.32	SAMN18315996	Metagenomic analysis reveals the signature of gut microbiota associated with human chronotypes
AF043627.1	ERR3404907	88.04	63.57	63.68	SAMEA5616681	Early_life_microbiota_colonisation
AF043627.1	SRR13236686	85.59	62.14	61.91	SAMN16807469	Cellulolytic microbial consortium Genome sequencing and assembly
AF043627.1	SRR11462833	84.49	61.43	61.11	SAMN14514676	Alteration in gut microbiota composition and functional relevance in subclinical carotid atherosclerosis in the general popolation
AF043627.1	SRR7351778	84.49	61.43	61.11	SAMN09278138	Probiotics in Pregnancy study
AF043627.1	SRR7351897	84.49	61.43	61.11	SAMN09278319	Probiotics in Pregnancy study
AF043627.1	ERR1620344	81.62	59.29	59.04	SAMEA4431957	The gut microbiome in Crohn's disease and modulation by exclusive enteral nutrition
AF043627.1	SRR10403548	81.62	59.29	59.04	SAMN13221638	Cross-sectional study of intestinal flora in Parkinson's patients in central China
AF043627.1	SRR13236684	81.62	59.29	59.04	SAMN16991297	Cellulolytic microbial consortium Genome sequencing and assembly
AF043627.1	SRR17284332	80.77	58.57	58.43	SAMN23963220	Transmission and formation of microbiota in the ealry life
AF043627.1	SRR7030503	79.77	57.86	57.70	SAMN08778356	Goat fecal pellet enrichment culture fungal communities from Isla Vista, California, USA - Reed Canary Grass, Gen0, Rep 3 metagenome
AF043627.1	SRR12159420	76.69	55.71	55.47	SAMN15422427	The gut microbiome related effect of Berberine and probiotics in treating Type 2 Diabetes
AF043627.1	SRR12158991	75.66	55.00	54.73	SAMN15422813	The gut microbiome related effect of Berberine and probiotics in treating Type 2 Diabetes
AF043627.1	SRR8845319	73.82	53.57	53.40	SAMN11311500	Shotgun Metagenomics of 361 post-menopause women reveals gut microbiome change along with the bone loss
AF043627.1	ERR3003428	71.96	52.14	52.05	SAMEA4813845	KOALA cohort metagenome study
AF043627.1	SRR15276854	69.63	50.71	50.36	SAMN20362767	AMR target-enriched metagenomic and 16S rRNA reads from cows raised in conventional or organic setting
AF043627.1	ERR4564517	68.17	49.29	49.31	SAMEA7288884	Imidazole propionate is increased in diabetes and associated with dietary patterns and altered microbial ecology
AF043627.1	SRR14346583	66.10	47.86	47.81	SAMN18880782	The role of maternal exposures on commensal microbes
AF043627.1	SRR10692766	65.88	47.86	47.65	SAMN13247019	human gut metagenome Metagenome
AF043627.1	SRR12390981	65.71	47.86	47.53	SAMN15733940	Metagenome of wastewater-derived enrichment cultures with different culture media
AF043627.1	SRR14307655	63.42	45.71	45.87	SAMN18790488	Research on diversity of gut microbes
AF043627.1	SRR12459432	63.20	45.71	45.72	SAMN15824774	PROMISE Cohort Metagenome sequence data
AF043627.1	ERR3857639	63.06	45.71	45.61	SAMEA6512880	Mediterranean diet intervention in overweight and obese subjects leads to multiple beneficial shifts in gut microbiome and metabolome independently from energy intake
AF043627.1	ERR6996584	62.32	45.00	45.08	SAMEA10314797	iMSMS Baranzini data
AF043627.1	SRR7228016	61.26	44.29	44.31	SAMN09272179	Effect of bariatric surgery on the faecal metagenome
AF043627.1	ERR3153848	61.10	44.29	44.20	SAMEA5335622	The fecal microbiota has already altered in normoglycemic individuals who go on to have type 2 diabetes
AF043627.1	ERR3393547	60.65	44.29	43.87	SAMEA5733050	Animal gut microbiome
AF043627.1	ERR3857638	59.86	43.57	43.30	SAMEA6512880	Mediterranean diet intervention in overweight and obese subjects leads to multiple beneficial shifts in gut microbiome and metabolome independently from energy intake
AF043627.1	SRR15276868	59.81	43.57	43.26	SAMN20362769	AMR target-enriched metagenomic and 16S rRNA reads from cows raised in conventional or organic setting
AF043627.1	SRR2566049	59.34	42.86	42.92	SAMN04126100	Intestinal microbiota dynamics in hospitalized patients
AF043627.1	ERR912002	58.95	42.86	42.64	SAMEA3449197	Shotgun Metagenomics of 250 Adult Twins Reveals Genetic and Environmental Impacts on the Gut Microbiome
AF043627.1	ERR3857640	58.19	42.14	42.09	SAMEA6512880	Mediterranean diet intervention in overweight and obese subjects leads to multiple beneficial shifts in gut microbiome and metabolome independently from energy intake
AF043627.1	ERR4290620	56.91	41.43	41.16	SAMEA7014618	Microbiome signature in post-treatment Lyme disease syndrome patients
AF043627.1	SRR7031257	56.25	40.71	40.69	SAMN08777589	Goat fecal pellet enrichment culture fungal communities from Isla Vista, California, USA - Xylan, Gen0, Rep 2 metagenome
AF043627.1	SRR14842407	56.06	40.71	40.55	SAMN19735663	Global Canine Shotgun Microbiomes
AF043627.1	SRR7227919	54.52	39.29	39.43	SAMN09272165	Effect of bariatric surgery on the faecal metagenome
AF043627.1	SRR10499620	54.35	39.29	39.31	SAMN13292787	human gut metagenome Metagenome
AF043627.1	SRR13434630	54.03	39.29	39.09	SAMN17312157	Primate phageomes are structured by superhost phylogeny and environment
AF043627.1	ERR3451257	53.33	38.57	38.57	SAMEA5814543	Whole shotgun metagenomic sequencing for 1,004 individuals belonging to the TwinsUK cohort.  Supporting data for: Visconti et al, Interplay between the human gut microbiome and host metabolism
AF043627.1	SRR6869086	52.71	38.57	38.13	SAMN08738623	Bovine Fecal Metagenomics During Early Life
AF043627.1	ERR4571535	52.22	37.86	37.77	SAMEA7294522	Genomic insights into adaptations of TMA-utilizing methanogens to diverse habitats including the human gut
AF043627.1	SRR12459264	51.55	37.14	37.28	SAMN15824897	PROMISE Cohort Metagenome sequence data
AF043627.1	SRR10098752	51.49	37.14	37.24	SAMN12727813	Characterization of antimicrobial resistance genes in the enriched Enterobacteriaceae community of suburban mesocarnivores, stray dogs and owned dogs.
AF043627.1	SRR10692023	50.08	36.43	36.22	SAMN13246444	human gut metagenome Metagenome
AF043627.1	SRR5866502	48.76	35.71	35.27	SAMN07414389	Whole-Grain rich diet cross-over study
AF043627.1	ERR1992808	48.74	35.71	35.25	SAMEA103954398	Semi-synthetic marine metagenomes for metagenomic pipeline assessment
AF043627.1	ERR2185279	48.74	35.71	35.25	SAMEA104351855	Semi-synthetic marine metagenomes for metagenomic pipeline assessment
AF043627.1	SRR4101312	47.74	35.00	34.53	SAMN05715927	food contamination metagenome Metagenome
AF043627.1	SRR12961173	47.27	34.29	34.19	SAMN16598094	Human gut microbes Metagenome
AF043627.1	SRR12390982	47.17	34.29	34.12	SAMN15733939	Metagenome of wastewater-derived enrichment cultures with different culture media
AF043627.1	SRR15276870	46.91	34.29	33.93	SAMN20362750	AMR target-enriched metagenomic and 16S rRNA reads from cows raised in conventional or organic setting
AF043627.1	SRR12326570	46.77	34.29	33.83	SAMN15637148	Cassava leaf microbiome and ions
AF043627.1	SRR12326571	46.76	34.29	33.83	SAMN15637147	Cassava leaf microbiome and ions
AF043627.1	SRR12326569	45.78	33.57	33.11	SAMN15637149	Cassava leaf microbiome and ions
AF043627.1	SRR4101315	45.75	33.57	33.09	SAMN05715936	food contamination metagenome Metagenome
AF043627.1	SRR4101313	45.74	33.57	33.09	SAMN05715936	food contamination metagenome Metagenome
AF043627.1	SRR10499466	45.45	32.86	32.88	SAMN13292914	human gut metagenome Metagenome
AF043627.1	ERR4083947	44.91	32.86	32.48	SAMEA6809521	Large scale metagenome assembly reveals novel animal-associated microbial diversity
AF043627.1	SRR11391801	43.93	32.14	31.78	SAMN14418853	Metagenomic Sequencing for cattle manure and E. coli library from cattle manure
