QueryID	SubjectID	RawScore	%coverage	PBSscore	BioSample	Title
FN252457.1	SRR6869086	69.94	50.00	49.69	SAMN08738623	Bovine Fecal Metagenomics During Early Life
FN252457.1	SRR17317416	66.20	47.18	47.04	SAMN24337964	The difference between diarrhea piglets and normal piglets
FN252457.1	SRR11412775	65.20	46.48	46.33	SAMN14445732	human gut metagenome Metagenome
FN252457.1	ERR1135379	64.22	45.77	45.63	SAMEA3663206	The Pig’s other genome: a reference gene catalogue of the gut microbiome
FN252457.1	ERR1135388	64.22	45.77	45.63	SAMEA3663215	The Pig’s other genome: a reference gene catalogue of the gut microbiome
FN252457.1	SRR17317415	64.22	45.77	45.63	SAMN24337962	The difference between diarrhea piglets and normal piglets
FN252457.1	ERR1135382	63.22	45.07	44.92	SAMEA3663209	The Pig’s other genome: a reference gene catalogue of the gut microbiome
FN252457.1	ERR1135385	62.24	44.37	44.22	SAMEA3663212	The Pig’s other genome: a reference gene catalogue of the gut microbiome
FN252457.1	ERR1135386	62.24	44.37	44.22	SAMEA3663213	The Pig’s other genome: a reference gene catalogue of the gut microbiome
FN252457.1	SRR13826161	62.24	44.37	44.22	SAMN16925175	Metagenome study of patients with Budd-Chiari syndrome
FN252457.1	SRR14099373	62.24	44.37	44.22	SAMN16925175	Metagenome study of patients with Budd-Chiari syndrome
FN252457.1	SRR4425662	62.24	44.37	44.22	SAMN05597107	Composite fecal samples and WWTP biosolids Raw sequence reads
FN252457.1	SRR7532988	62.24	44.37	44.22	SAMN09641552	panda gut metagenome raw sequence reads Raw sequence reads
FN252457.1	SRR7532989	62.24	44.37	44.22	SAMN09641551	panda gut metagenome raw sequence reads Raw sequence reads
FN252457.1	SRR13517648	61.29	43.66	43.55	SAMN17521793	Metagenomics of antimicrobial and heavy metal resistance in the cecal microbiome of fattening pigs raised without antibiotics
FN252457.1	SRR17317414	60.25	42.96	42.81	SAMN24337966	The difference between diarrhea piglets and normal piglets
FN252457.1	ERR3393539	59.25	42.25	42.10	SAMEA5733042	Animal gut microbiome
FN252457.1	ERR1135221	58.27	41.55	41.40	SAMEA3663048	The Pig’s other genome: a reference gene catalogue of the gut microbiome
FN252457.1	SRR4425697	57.26	40.85	40.68	SAMN05597123	Composite fecal samples and WWTP biosolids Raw sequence reads
FN252457.1	SRR15276854	56.96	40.85	40.47	SAMN20362767	AMR target-enriched metagenomic and 16S rRNA reads from cows raised in conventional or organic setting
FN252457.1	ERR1135383	56.28	40.14	39.99	SAMEA3663210	The Pig’s other genome: a reference gene catalogue of the gut microbiome
FN252457.1	ERR1600642	54.36	38.73	38.62	SAMEA4385500	Using WTP diet to modulate gut microbiota to alleviate human type 2 diabetes
FN252457.1	SRR4101312	53.93	38.73	38.32	SAMN05715927	food contamination metagenome Metagenome
FN252457.1	SRR17317413	53.30	38.03	37.87	SAMN24337968	The difference between diarrhea piglets and normal piglets
FN252457.1	ERR4083947	52.96	38.03	37.63	SAMEA6809521	Large scale metagenome assembly reveals novel animal-associated microbial diversity
FN252457.1	SRR4101319	52.96	38.03	37.63	SAMN05715927	food contamination metagenome Metagenome
FN252457.1	SRR4101315	51.97	37.32	36.92	SAMN05715936	food contamination metagenome Metagenome
FN252457.1	SRR4101314	51.95	37.32	36.92	SAMN05715936	food contamination metagenome Metagenome
FN252457.1	ERR2020037	51.35	36.62	36.49	SAMEA104144127	We studied the effect of different zinc sources on the intestinal microbiome in weaned pigs
FN252457.1	SRR2177282	50.00	35.92	35.53	SAMN04001583	STEC-spiked spinach Metagenome
FN252457.1	SRR4101324	49.99	35.92	35.52	SAMN05715929	food contamination metagenome Metagenome
FN252457.1	SRR2177286	49.98	35.92	35.51	SAMN04001584	STEC-spiked spinach Metagenome
FN252457.1	SRR8353651	49.98	35.92	35.51	SAMN10615590	The relationship of fecal microbiomes and nutritional status in cystic fibrosis
FN252457.1	SRR4101313	49.96	35.92	35.50	SAMN05715936	food contamination metagenome Metagenome
FN252457.1	SRR4101297	48.98	35.21	34.80	SAMN05715931	food contamination metagenome Metagenome
FN252457.1	SRR14780121	48.97	35.21	34.80	SAMN15504563	Metagenomics MinION and Flongle sequencing of spiked beef
FN252457.1	ERR2597327	48.41	34.51	34.40	SAMEA4688841	VETII samples
FN252457.1	SRR3181139	48.11	34.51	34.19	SAMN04450471	Cattle feces Metagenome
FN252457.1	SRR4101310	48.00	34.51	34.11	SAMN05715935	food contamination metagenome Metagenome
FN252457.1	SRR11435978	47.99	34.51	34.10	SAMN14475164	Quasimetagenomics sequencing of Salmonella enterica and E. coli O157:H7
FN252457.1	SRR2177285	47.98	34.51	34.09	SAMN04001583	STEC-spiked spinach Metagenome
FN252457.1	SRR6482687	47.98	34.51	34.09	SAMN08017836	Collection of 3,087 bacterial metagenome-assembled genomes recovered from metagenomes available from the Sequence Read Archive.
FN252457.1	SRR2164314	47.98	34.51	34.09	SAMN03983345	Fecal suspension - 2011 E coli outbreak Raw sequence reads
FN252457.1	SRR6486880	47.98	34.51	34.09	SAMN08375885	Evaluation of Enriched Background Microflora of Wheat flour Spiked with E. coli O157 and E. coli O121 through metagenomics
FN252457.1	ERR3393526	47.41	33.80	33.68	SAMEA5733029	Animal gut microbiome
FN252457.1	SRR4101289	47.00	33.80	33.39	SAMN05715926	food contamination metagenome Metagenome
FN252457.1	SRR12326570	46.99	33.80	33.39	SAMN15637148	Cassava leaf microbiome and ions
FN252457.1	SRR4101309	46.99	33.80	33.39	SAMN05715935	food contamination metagenome Metagenome
FN252457.1	ERR2270960	46.98	33.80	33.38	SAMEA104549057	Metagenomic characterization of the human intestinal microbiota in faecal samples from STEC-infected patients
FN252457.1	SRR15276870	46.97	33.80	33.37	SAMN20362750	AMR target-enriched metagenomic and 16S rRNA reads from cows raised in conventional or organic setting
