QueryID	SubjectID	RawScore	%coverage	PBSscore	BioSample	Title
Z36901.1	ERR636354	149.97	100.00	100.00	SAMEA2784453	Influence of travel on antibiotic resistance
Z36901.1	SRR11941643	149.97	100.00	100.00	SAMN15156483	Multi-donor FMT to treat adolescents with severe obesity (The Gut Bugs Trial)
Z36901.1	SRR12875514	149.97	100.00	100.00	SAMN16513441	Gut microbiome is associated with exercise tolerance of resected early-stage lung cancer patients
Z36901.1	SRR13318299	149.97	100.00	100.00	SAMN17171409	Netherland Travelers
Z36901.1	ERR2239131	147.97	98.68	98.67	SAMEA3608722	American Gut Project
Z36901.1	ERR912057	147.97	98.68	98.67	SAMEA3449252	Shotgun Metagenomics of 250 Adult Twins Reveals Genetic and Environmental Impacts on the Gut Microbiome
Z36901.1	ERR3004221	147.03	98.03	98.04	SAMEA4813778	KOALA cohort metagenome study
Z36901.1	SRR5273912	146.99	98.03	98.01	SAMN06350202	Mother-infant microbiome vertical transmission
Z36901.1	ERR2242004	146.98	98.03	98.01	SAMEA3608722	American Gut Project
Z36901.1	SRR7723001	145.08	96.71	96.74	SAMN09863745	Influence of early environmental factors on the establishment and development of gut microbiome composition and function and metabolomics profiles in infants at-risk of celiac disease
Z36901.1	ERR3405069	144.11	96.05	96.10	SAMEA5617730	Early_life_microbiota_colonisation
Z36901.1	SRR17241864	142.09	94.74	94.75	SAMN23969011	Gut microbiome in obese children treated with butyrate
Z36901.1	SRR9038165	140.06	93.42	93.40	SAMN11615887	feces metagenome Raw sequence reads
Z36901.1	ERR2238585	140.06	93.42	93.40	SAMEA3608722	American Gut Project
Z36901.1	ERR3406244	139.09	92.76	92.75	SAMEA5616932	Early_life_microbiota_colonisation
Z36901.1	SRR5866558	135.28	90.13	90.20	SAMN07414360	Whole-Grain rich diet cross-over study
Z36901.1	SRR6426150	133.21	88.82	88.83	SAMN08007091	Wheat flour Raw sequence reads
Z36901.1	ERR2739244	133.05	88.82	88.72	SAMEA4833149	Culture-enriched human gut microbiomes reveal core and accessory resistance genes
Z36901.1	ERR2739245	133.05	88.82	88.72	SAMEA4833149	Culture-enriched human gut microbiomes reveal core and accessory resistance genes
Z36901.1	ERR2739246	133.05	88.82	88.72	SAMEA4833149	Culture-enriched human gut microbiomes reveal core and accessory resistance genes
Z36901.1	ERR3405056	131.26	87.50	87.53	SAMEA5617729	Early_life_microbiota_colonisation
Z36901.1	SRR5866559	130.33	86.84	86.91	SAMN07414361	Whole-Grain rich diet cross-over study
Z36901.1	SRR2566049	126.20	84.21	84.15	SAMN04126100	Intestinal microbiota dynamics in hospitalized patients
Z36901.1	ERR2739236	126.16	84.21	84.13	SAMEA4833145	Culture-enriched human gut microbiomes reveal core and accessory resistance genes
Z36901.1	ERR2739235	125.26	83.55	83.52	SAMEA4833145	Culture-enriched human gut microbiomes reveal core and accessory resistance genes
Z36901.1	ERR5310767	122.42	81.58	81.63	SAMEA8082447	The TrackCattle Study
