QueryID	SubjectID	RawScore	%coverage	PBSscore	BioSample	Title
DQ059012.1	SRR4101317	123.44	100.00	100.00	SAMN05715937	food contamination metagenome Metagenome
DQ059012.1	SRR4101318	123.44	100.00	100.00	SAMN05715937	food contamination metagenome Metagenome
DQ059012.1	SRR15276870	106.48	86.40	86.26	SAMN20362750	AMR target-enriched metagenomic and 16S rRNA reads from cows raised in conventional or organic setting
DQ059012.1	SRR12711214	93.54	76.00	75.78	SAMN15870991	Metagenomic sequencing of  the digestive tract of buffalo
DQ059012.1	SRR15276854	93.50	76.00	75.75	SAMN20362767	AMR target-enriched metagenomic and 16S rRNA reads from cows raised in conventional or organic setting
DQ059012.1	ERR3153744	89.52	72.80	72.52	SAMEA5335518	The fecal microbiota has already altered in normoglycemic individuals who go on to have type 2 diabetes
DQ059012.1	SRR4101320	87.54	71.20	70.92	SAMN05715927	food contamination metagenome Metagenome
DQ059012.1	ERR4083947	85.55	69.60	69.30	SAMEA6809521	Large scale metagenome assembly reveals novel animal-associated microbial diversity
DQ059012.1	SRR4101312	85.55	69.60	69.30	SAMN05715927	food contamination metagenome Metagenome
DQ059012.1	SRR4101319	85.55	69.60	69.30	SAMN05715927	food contamination metagenome Metagenome
DQ059012.1	SRR6667573	85.55	69.60	69.30	SAMN08457752	Metagenomes of produce spiked with E.coli
DQ059012.1	SRR4101321	84.58	68.80	68.52	SAMN05715928	food contamination metagenome Metagenome
DQ059012.1	SRR12711160	84.57	68.80	68.51	SAMN15871213	Metagenomic sequencing of  the digestive tract of buffalo
DQ059012.1	ERR321622	83.58	68.00	67.71	SAMEA2145815	Richness of human gut microbiome correlates with metabolic markers
DQ059012.1	SRR4101323	83.58	68.00	67.71	SAMN05715928	food contamination metagenome Metagenome
DQ059012.1	SRR6869086	83.54	68.00	67.68	SAMN08738623	Bovine Fecal Metagenomics During Early Life
DQ059012.1	SRR5866502	82.66	67.20	66.97	SAMN07414389	Whole-Grain rich diet cross-over study
DQ059012.1	SRR12711225	82.60	67.20	66.91	SAMN15870981	Metagenomic sequencing of  the digestive tract of buffalo
DQ059012.1	SRR4101322	81.60	66.40	66.11	SAMN05715928	food contamination metagenome Metagenome
DQ059012.1	SRR4101324	79.58	64.80	64.47	SAMN05715929	food contamination metagenome Metagenome
DQ059012.1	SRR4101314	79.57	64.80	64.46	SAMN05715936	food contamination metagenome Metagenome
DQ059012.1	SRR8353651	79.56	64.80	64.46	SAMN10615590	The relationship of fecal microbiomes and nutritional status in cystic fibrosis
DQ059012.1	SRR4101313	79.56	64.80	64.45	SAMN05715936	food contamination metagenome Metagenome
DQ059012.1	SRR6869083	78.60	64.00	63.67	SAMN08738620	Bovine Fecal Metagenomics During Early Life
DQ059012.1	SRR8353652	78.57	64.00	63.65	SAMN10615591	The relationship of fecal microbiomes and nutritional status in cystic fibrosis
DQ059012.1	SRR4101315	78.56	64.00	63.65	SAMN05715936	food contamination metagenome Metagenome
DQ059012.1	SRR8784357	77.64	63.20	62.90	SAMN11252265	Metagenomic sequencing of stool samples from Ethiopian individuals
DQ059012.1	SRR8856338	77.61	63.20	62.87	SAMN11345975	Breccia  Pipe U Claim Borehole WT-29A subsurface metagenome
DQ059012.1	SRR10692160	76.66	62.40	62.10	SAMN13246266	human gut metagenome Metagenome
DQ059012.1	SRR2177286	75.65	61.60	61.29	SAMN04001584	STEC-spiked spinach Metagenome
DQ059012.1	ERR1992808	74.69	60.80	60.50	SAMEA103954398	Semi-synthetic marine metagenomes for metagenomic pipeline assessment
DQ059012.1	ERR2185279	74.69	60.80	60.50	SAMEA104351855	Semi-synthetic marine metagenomes for metagenomic pipeline assessment
DQ059012.1	ERR738549	74.67	60.80	60.49	SAMEA3216841	Benchmark of metagenome analysis tools
DQ059012.1	ERR3085829	74.63	60.80	60.46	SAMEA104403803	RLBUHT_Cdiff
DQ059012.1	SRR15276868	74.58	60.80	60.42	SAMN20362769	AMR target-enriched metagenomic and 16S rRNA reads from cows raised in conventional or organic setting
DQ059012.1	SRR11391801	73.74	60.00	59.73	SAMN14418853	Metagenomic Sequencing for cattle manure and E. coli library from cattle manure
DQ059012.1	SRR11391800	73.74	60.00	59.73	SAMN14418854	Metagenomic Sequencing for cattle manure and E. coli library from cattle manure
DQ059012.1	SRR4101309	73.63	60.00	59.65	SAMN05715935	food contamination metagenome Metagenome
DQ059012.1	SRR12326570	72.61	59.20	58.82	SAMN15637148	Cassava leaf microbiome and ions
DQ059012.1	SRR4101311	71.65	58.40	58.05	SAMN05715935	food contamination metagenome Metagenome
DQ059012.1	SRR2177285	71.64	58.40	58.04	SAMN04001583	STEC-spiked spinach Metagenome
DQ059012.1	SRR6482687	71.64	58.40	58.04	SAMN08017836	Collection of 3,087 bacterial metagenome-assembled genomes recovered from metagenomes available from the Sequence Read Archive.
DQ059012.1	SRR12710916	71.62	58.40	58.02	SAMN15870962	Metagenomic sequencing of  the digestive tract of buffalo
DQ059012.1	ERR738547	71.62	58.40	58.02	SAMEA3216839	Benchmark of metagenome analysis tools
DQ059012.1	SRR12326569	71.61	58.40	58.02	SAMN15637149	Cassava leaf microbiome and ions
DQ059012.1	SRR12326571	71.61	58.40	58.02	SAMN15637147	Cassava leaf microbiome and ions
DQ059012.1	SRR4101293	70.72	57.60	57.29	SAMN05715930	food contamination metagenome Metagenome
DQ059012.1	SRR4101294	70.72	57.60	57.29	SAMN05715930	food contamination metagenome Metagenome
DQ059012.1	SRR4101295	70.72	57.60	57.29	SAMN05715930	food contamination metagenome Metagenome
DQ059012.1	SRR15276864	70.71	57.60	57.29	SAMN20362773	AMR target-enriched metagenomic and 16S rRNA reads from cows raised in conventional or organic setting
DQ059012.1	SRR4101310	70.66	57.60	57.24	SAMN05715935	food contamination metagenome Metagenome
DQ059012.1	SRR17241854	70.63	57.60	57.22	SAMN23969020	Gut microbiome in obese children treated with butyrate
DQ059012.1	SRR6514656	70.63	57.60	57.22	SAMN08379451	Evaluation of Enriched Background Microflora of Raw Milk Cheese Spiked with E. coli O157:H7 and E. coli O103 using Next-Generation Sequencing Technology
DQ059012.1	ERR738548	68.73	56.00	55.68	SAMEA3216840	Benchmark of metagenome analysis tools
DQ059012.1	SRR12710959	68.66	56.00	55.62	SAMN15870917	Metagenomic sequencing of  the digestive tract of buffalo
DQ059012.1	SRR7658622	67.69	55.20	54.84	SAMN09781734	Metagenomic sequencing of stool samples from rural communities from north-eastern Madagascar
DQ059012.1	SRR6486879	67.66	55.20	54.81	SAMN08375886	Evaluation of Enriched Background Microflora of Wheat flour Spiked with E. coli O157 and E. coli O121 through metagenomics
DQ059012.1	SRR7229774	67.66	55.20	54.81	SAMN09269258	Complete Genome Sequence of New Type Shiga toxin-producing Escherichia coli O157:H7 Phage vB_EcoM-Sa157w3YLVW
DQ059012.1	ERR2270961	67.66	55.20	54.81	SAMEA104549058	Metagenomic characterization of the human intestinal microbiota in faecal samples from STEC-infected patients
DQ059012.1	SRR4101301	67.64	55.20	54.80	SAMN05715926	food contamination metagenome Metagenome
DQ059012.1	SRR15276860	67.63	55.20	54.79	SAMN20362752	AMR target-enriched metagenomic and 16S rRNA reads from cows raised in conventional or organic setting
DQ059012.1	SRR12711224	66.68	54.40	54.02	SAMN15870982	Metagenomic sequencing of  the digestive tract of buffalo
DQ059012.1	SRR12711477	66.68	54.40	54.02	SAMN15870925	Metagenomic sequencing of  the digestive tract of buffalo
DQ059012.1	SRR2177282	66.67	54.40	54.01	SAMN04001583	STEC-spiked spinach Metagenome
DQ059012.1	SRR2177280	66.67	54.40	54.01	SAMN04001579	STEC-spiked spinach Metagenome
DQ059012.1	SRR14780121	66.66	54.40	54.01	SAMN15504563	Metagenomics MinION and Flongle sequencing of spiked beef
DQ059012.1	SRR11435963	66.66	54.40	54.00	SAMN14475171	Quasimetagenomics sequencing of Salmonella enterica and E. coli O157:H7
DQ059012.1	SRR11435969	66.66	54.40	54.00	SAMN14475165	Quasimetagenomics sequencing of Salmonella enterica and E. coli O157:H7
DQ059012.1	SRR6486880	66.66	54.40	54.00	SAMN08375885	Evaluation of Enriched Background Microflora of Wheat flour Spiked with E. coli O157 and E. coli O121 through metagenomics
DQ059012.1	ERR3413876	66.66	54.40	54.00	SAMEA5735801	The study compares 16S rDNA amplicon and metagenomics sequencing for Pathogen detection in Food safety
DQ059012.1	SRR11435988	66.66	54.40	54.00	SAMN14475172	Quasimetagenomics sequencing of Salmonella enterica and E. coli O157:H7
DQ059012.1	SRR15276869	65.69	53.60	53.22	SAMN20362768	AMR target-enriched metagenomic and 16S rRNA reads from cows raised in conventional or organic setting
DQ059012.1	SRR4101289	65.67	53.60	53.20	SAMN05715926	food contamination metagenome Metagenome
DQ059012.1	SRR2177357	65.67	53.60	53.20	SAMN04001591	STEC-spiked spinach Metagenome
DQ059012.1	SRR4101296	65.67	53.60	53.20	SAMN05715931	food contamination metagenome Metagenome
DQ059012.1	SRR11435966	65.66	53.60	53.19	SAMN14475168	Quasimetagenomics sequencing of Salmonella enterica and E. coli O157:H7
DQ059012.1	SRR12711033	65.19	52.80	52.81	SAMN15871266	Metagenomic sequencing of  the digestive tract of buffalo
DQ059012.1	SRR4018490	64.70	52.80	52.41	SAMN05442508	freshwater metagenome Raw sequence reads
DQ059012.1	SRR4101308	64.68	52.80	52.40	SAMN05715934	food contamination metagenome Metagenome
DQ059012.1	SRR2164314	64.68	52.80	52.40	SAMN03983345	Fecal suspension - 2011 E coli outbreak Raw sequence reads
DQ059012.1	SRR12195334	64.67	52.80	52.39	SAMN15504566	STEC-spiked food
DQ059012.1	ERR2270960	64.67	52.80	52.39	SAMEA104549057	Metagenomic characterization of the human intestinal microbiota in faecal samples from STEC-infected patients
DQ059012.1	SRR11435968	64.67	52.80	52.39	SAMN14475166	Quasimetagenomics sequencing of Salmonella enterica and E. coli O157:H7
DQ059012.1	SRR12195333	64.67	52.80	52.39	SAMN15504567	STEC-spiked food
DQ059012.1	SRR4101297	64.67	52.80	52.39	SAMN05715931	food contamination metagenome Metagenome
DQ059012.1	SRR4101306	64.67	52.80	52.39	SAMN05715934	food contamination metagenome Metagenome
DQ059012.1	SRR11435985	64.67	52.80	52.39	SAMN14475175	Quasimetagenomics sequencing of Salmonella enterica and E. coli O157:H7
DQ059012.1	SRR8354042	64.67	52.80	52.39	SAMN10615885	The relationship of fecal microbiomes and nutritional status in cystic fibrosis
DQ059012.1	SRR11391799	63.98	52.00	51.83	SAMN14418855	Metagenomic Sequencing for cattle manure and E. coli library from cattle manure
DQ059012.1	ERR2182604	63.68	52.00	51.59	SAMEA104359694	Metagenomic characterization of the human intestinal microbiota in faecal samples from STEC-infected patients
DQ059012.1	ERR3413877	63.68	52.00	51.59	SAMEA5735802	The study compares 16S rDNA amplicon and metagenomics sequencing for Pathogen detection in Food safety
DQ059012.1	ERR3413878	63.68	52.00	51.59	SAMEA5735803	The study compares 16S rDNA amplicon and metagenomics sequencing for Pathogen detection in Food safety
DQ059012.1	ERR3413879	63.68	52.00	51.59	SAMEA5735804	The study compares 16S rDNA amplicon and metagenomics sequencing for Pathogen detection in Food safety
DQ059012.1	SRR11435964	63.68	52.00	51.59	SAMN14475170	Quasimetagenomics sequencing of Salmonella enterica and E. coli O157:H7
DQ059012.1	SRR11435965	63.68	52.00	51.59	SAMN14475169	Quasimetagenomics sequencing of Salmonella enterica and E. coli O157:H7
DQ059012.1	SRR11435978	63.68	52.00	51.59	SAMN14475164	Quasimetagenomics sequencing of Salmonella enterica and E. coli O157:H7
DQ059012.1	SRR11435986	63.68	52.00	51.59	SAMN14475174	Quasimetagenomics sequencing of Salmonella enterica and E. coli O157:H7
DQ059012.1	SRR11435987	63.68	52.00	51.59	SAMN14475173	Quasimetagenomics sequencing of Salmonella enterica and E. coli O157:H7
DQ059012.1	SRR11435989	63.68	52.00	51.59	SAMN14475163	Quasimetagenomics sequencing of Salmonella enterica and E. coli O157:H7
DQ059012.1	SRR12195329	63.68	52.00	51.59	SAMN15504571	STEC-spiked food
DQ059012.1	SRR12195330	63.68	52.00	51.59	SAMN15504570	STEC-spiked food
DQ059012.1	SRR12195331	63.68	52.00	51.59	SAMN15504569	STEC-spiked food
DQ059012.1	SRR12195332	63.68	52.00	51.59	SAMN15504568	STEC-spiked food
DQ059012.1	SRR12195335	63.68	52.00	51.59	SAMN15504565	STEC-spiked food
DQ059012.1	SRR12195343	63.68	52.00	51.59	SAMN15504564	STEC-spiked food
DQ059012.1	SRR12195344	63.68	52.00	51.59	SAMN15504563	STEC-spiked food
DQ059012.1	SRR1523528	63.68	52.00	51.59	SAMN02929927	Human saliva, creek water, and synthetic metagenomic samples used in selective DNA isolation using restriction enzymes
DQ059012.1	SRR2177250	63.68	52.00	51.59	SAMN04001579	STEC-spiked spinach Metagenome
DQ059012.1	SRR2177283	63.68	52.00	51.59	SAMN04001575	STEC-spiked spinach Metagenome
DQ059012.1	SRR2177288	63.68	52.00	51.59	SAMN04001591	STEC-spiked spinach Metagenome
DQ059012.1	SRR4101290	63.68	52.00	51.59	SAMN05715926	food contamination metagenome Metagenome
DQ059012.1	SRR4101291	63.68	52.00	51.59	SAMN05715929	food contamination metagenome Metagenome
DQ059012.1	SRR4101292	63.68	52.00	51.59	SAMN05715929	food contamination metagenome Metagenome
DQ059012.1	SRR4101298	63.68	52.00	51.59	SAMN05715931	food contamination metagenome Metagenome
DQ059012.1	SRR4101299	63.68	52.00	51.59	SAMN05715932	food contamination metagenome Metagenome
DQ059012.1	SRR4101307	63.68	52.00	51.59	SAMN05715934	food contamination metagenome Metagenome
DQ059012.1	SRR6486883	63.68	52.00	51.59	SAMN08375884	Evaluation of Enriched Background Microflora of Wheat flour Spiked with E. coli O157 and E. coli O121 through metagenomics
DQ059012.1	SRR6486887	63.68	52.00	51.59	SAMN08375878	Evaluation of Enriched Background Microflora of Wheat flour Spiked with E. coli O157 and E. coli O121 through metagenomics
DQ059012.1	SRR6486889	63.68	52.00	51.59	SAMN08375880	Evaluation of Enriched Background Microflora of Wheat flour Spiked with E. coli O157 and E. coli O121 through metagenomics
DQ059012.1	SRR6486890	63.68	52.00	51.59	SAMN08375879	Evaluation of Enriched Background Microflora of Wheat flour Spiked with E. coli O157 and E. coli O121 through metagenomics
DQ059012.1	ERR738545	62.81	51.20	50.89	SAMEA3216837	Benchmark of metagenome analysis tools
DQ059012.1	SRR12711466	62.78	51.20	50.86	SAMN15870926	Metagenomic sequencing of  the digestive tract of buffalo
DQ059012.1	SRR11435990	62.71	51.20	50.80	SAMN14475162	Quasimetagenomics sequencing of Salmonella enterica and E. coli O157:H7
DQ059012.1	SRR6514663	62.71	51.20	50.80	SAMN08379458	Evaluation of Enriched Background Microflora of Raw Milk Cheese Spiked with E. coli O157:H7 and E. coli O103 using Next-Generation Sequencing Technology
DQ059012.1	SRR6514664	62.69	51.20	50.79	SAMN08379457	Evaluation of Enriched Background Microflora of Raw Milk Cheese Spiked with E. coli O157:H7 and E. coli O103 using Next-Generation Sequencing Technology
DQ059012.1	SRR2177287	61.76	50.40	50.04	SAMN04001591	STEC-spiked spinach Metagenome
DQ059012.1	SRR13236686	60.91	49.60	49.34	SAMN16807469	Cellulolytic microbial consortium Genome sequencing and assembly
DQ059012.1	SRR2000383	60.73	49.60	49.20	SAMN03569081	Fecal suspension - 2011 E coli outbreak Raw sequence reads
DQ059012.1	SRR6514655	60.73	49.60	49.20	SAMN08379452	Evaluation of Enriched Background Microflora of Raw Milk Cheese Spiked with E. coli O157:H7 and E. coli O103 using Next-Generation Sequencing Technology
DQ059012.1	SRR2177251	59.75	48.80	48.41	SAMN04001579	STEC-spiked spinach Metagenome
DQ059012.1	SRR12217733	59.75	48.80	48.40	SAMN15503819	Bovine fecal metagenome from dairy veal calves
DQ059012.1	SRR7110579	59.06	48.00	47.85	SAMN08776114	Enriched fungal communities from goat fecal pellet, Isla Vista, California, United States - Alfalfa, Gen10, Rep 1, Penicillin and Streptomycin metagenome
DQ059012.1	SRR14842352	58.89	48.00	47.71	SAMN19735668	Global Canine Shotgun Microbiomes
DQ059012.1	ERR4298353	58.76	48.00	47.61	SAMEA7020081	Proficiency testing of metagenomics-based detection of food-borne pathogens using a complex artificial sequencing dataset
DQ059012.1	SRR4101302	57.78	47.20	46.81	SAMN05715932	food contamination metagenome Metagenome
DQ059012.1	ERR3393547	56.91	46.40	46.10	SAMEA5733050	Animal gut microbiome
DQ059012.1	SRR4425658	56.86	46.40	46.06	SAMN05597113	Composite fecal samples and WWTP biosolids Raw sequence reads
DQ059012.1	SRR2177360	56.82	46.40	46.03	SAMN04001593	STEC-spiked spinach Metagenome
DQ059012.1	SRR11435967	54.85	44.80	44.44	SAMN14475167	Quasimetagenomics sequencing of Salmonella enterica and E. coli O157:H7
DQ059012.1	SRR11412775	54.36	44.00	44.04	SAMN14445732	human gut metagenome Metagenome
DQ059012.1	SRR4018489	53.87	44.00	43.64	SAMN05442507	freshwater metagenome Raw sequence reads
DQ059012.1	SRR5377209	53.87	44.00	43.64	SAMN06624502	human gut metagenome Raw sequence reads
DQ059012.1	SRR2177358	52.91	43.20	42.86	SAMN04001592	STEC-spiked spinach Metagenome
DQ059012.1	SRR6514657	52.89	43.20	42.85	SAMN08379450	Evaluation of Enriched Background Microflora of Raw Milk Cheese Spiked with E. coli O157:H7 and E. coli O103 using Next-Generation Sequencing Technology
